,HCP_ID,Date,Print,Print Spend,ZIP
0,1066742752,2021-01-04,4610.69,497.56,28089
1,1066742752,2021-01-11,4977.71,275.38,28089
2,1066742752,2021-01-18,1957.17,168.81,28089
3,1066742752,2021-01-25,2528.44,339.58,28089
4,1066742752,2021-02-01,3974.35,306.55,28089
5,1066742752,2021-02-08,4370.96,467.87,28089
6,1066742752,2021-02-15,4542.67,247.68,28089
7,1066742752,2021-02-22,4802.19,469.23,28089
8,1066742752,2021-03-01,2646.62,268.52,28089
9,1066742752,2021-03-08,1312.17,474.8,28089
10,1066742752,2021-03-15,1353.84,296.46,28089
11,1066742752,2021-03-22,3885.66,451.87,28089
12,1066742752,2021-03-29,3284.0,373.03,28089
13,1066742752,2021-04-05,3840.52,106.39,28089
14,1066742752,2021-04-12,4769.94,243.97,28089
15,1066742752,2021-04-19,1710.09,289.33,28089
16,1066742752,2021-04-26,3933.94,430.94,28089
17,1066742752,2021-05-03,3878.45,260.05,28089
18,1066742752,2021-05-10,3726.2,272.75,28089
19,1066742752,2021-05-17,4947.47,498.59,28089
20,1066742752,2021-05-24,1999.18,293.33,28089
21,1066742752,2021-05-31,3306.07,354.5,28089
22,1066742752,2021-06-07,2735.69,309.72,28089
23,1066742752,2021-06-14,3217.06,255.18,28089
24,1066742752,2021-06-21,2281.76,353.85,28089
25,1066742752,2021-06-28,2768.16,488.86,28089
26,1066742752,2021-07-05,2502.76,178.34,28089
27,1066742752,2021-07-12,2706.55,362.77,28089
28,1066742752,2021-07-19,2767.22,214.27,28089
29,1066742752,2021-07-26,2980.93,278.8,28089
30,1066742752,2021-08-02,4776.55,107.56,28089
31,1066742752,2021-08-09,2579.82,236.4,28089
32,1066742752,2021-08-16,1893.78,318.5,28089
33,1066742752,2021-08-23,3456.24,104.08,28089
34,1066742752,2021-08-30,3704.64,253.07,28089
35,1066742752,2021-09-06,4692.11,397.41,28089
36,1066742752,2021-09-13,3055.23,480.6,28089
37,1066742752,2021-09-20,3749.62,423.23,28089
38,1066742752,2021-09-27,4825.46,456.14,28089
39,1066742752,2021-10-04,1282.69,184.09,28089
40,1066742752,2021-10-11,3518.31,164.37,28089
41,1066742752,2021-10-18,2858.99,292.07,28089
42,1066742752,2021-10-25,2852.35,429.0,28089
43,1066742752,2021-11-01,2957.78,447.48,28089
44,1066742752,2021-11-08,4094.32,356.98,28089
45,1066742752,2021-11-15,3311.99,192.89,28089
46,1066742752,2021-11-22,4072.25,421.78,28089
47,1066742752,2021-11-29,2957.55,188.15,28089
48,1066742752,2021-12-06,4040.42,420.05,28089
49,1066742752,2021-12-13,3268.49,378.86,28089
50,1066742752,2021-12-20,4094.68,216.63,28089
51,1066742752,2021-12-27,2130.88,383.2,28089
52,1066742752,2022-01-03,3049.63,304.93,28089
53,1066742752,2022-01-10,4834.88,419.74,28089
54,1066742752,2022-01-17,2024.13,262.55,28089
55,1066742752,2022-01-24,4320.09,129.29,28089
56,1066742752,2022-01-31,2284.18,235.88,28089
57,1066742752,2022-02-07,2560.99,203.65,28089
58,1066742752,2022-02-14,3567.6,258.02,28089
59,1066742752,2022-02-21,3169.02,209.04,28089
60,1066742752,2022-02-28,4445.25,182.31,28089
61,1066742752,2022-03-07,4509.27,171.64,28089
62,1066742752,2022-03-14,2480.52,411.66,28089
63,1066742752,2022-03-21,2970.62,194.88,28089
