,HCP_ID,Date,Calls,Calls Spend,ZIP
0,8705459454,2021-01-04,1649.48,149.13,68503
1,8705459454,2021-01-11,4862.21,212.61,68503
2,8705459454,2021-01-18,4634.37,264.23,68503
3,8705459454,2021-01-25,2543.69,380.37,68503
4,8705459454,2021-02-01,1039.53,235.24,68503
5,8705459454,2021-02-08,2210.58,447.24,68503
6,8705459454,2021-02-15,3116.49,245.83,68503
7,8705459454,2021-02-22,2064.32,336.2,68503
8,8705459454,2021-03-01,1606.69,198.48,68503
9,8705459454,2021-03-08,2174.45,343.16,68503
10,8705459454,2021-03-15,2493.02,302.31,68503
11,8705459454,2021-03-22,3601.75,482.51,68503
12,8705459454,2021-03-29,4059.35,262.1,68503
13,8705459454,2021-04-05,3993.1,479.88,68503
14,8705459454,2021-04-12,2997.52,264.2,68503
15,8705459454,2021-04-19,1312.07,456.95,68503
16,8705459454,2021-04-26,1985.74,125.58,68503
17,8705459454,2021-05-03,3148.81,438.36,68503
18,8705459454,2021-05-10,2626.54,413.23,68503
19,8705459454,2021-05-17,4345.58,281.76,68503
20,8705459454,2021-05-24,3363.82,313.56,68503
21,8705459454,2021-05-31,4756.78,390.2,68503
22,8705459454,2021-06-07,4701.37,188.0,68503
23,8705459454,2021-06-14,2240.95,128.37,68503
24,8705459454,2021-06-21,2999.63,449.57,68503
25,8705459454,2021-06-28,2307.39,151.31,68503
26,8705459454,2021-07-05,1273.79,279.0,68503
27,8705459454,2021-07-12,1656.09,238.44,68503
28,8705459454,2021-07-19,4279.92,253.62,68503
29,8705459454,2021-07-26,3439.48,300.86,68503
30,8705459454,2021-08-02,3874.13,162.47,68503
31,8705459454,2021-08-09,4681.76,357.45,68503
32,8705459454,2021-08-16,2083.81,149.3,68503
33,8705459454,2021-08-23,1598.9,413.07,68503
34,8705459454,2021-08-30,3352.44,252.3,68503
35,8705459454,2021-09-06,2331.6,442.3,68503
36,8705459454,2021-09-13,4499.05,332.5,68503
37,8705459454,2021-09-20,3098.18,426.58,68503
38,8705459454,2021-09-27,3997.34,260.13,68503
39,8705459454,2021-10-04,1330.95,407.4,68503
40,8705459454,2021-10-11,1674.8,106.55,68503
41,8705459454,2021-10-18,4373.21,331.3,68503
42,8705459454,2021-10-25,4566.66,293.84,68503
43,8705459454,2021-11-01,4705.92,241.59,68503
44,8705459454,2021-11-08,3898.09,220.39,68503
45,8705459454,2021-11-15,1004.65,251.9,68503
46,8705459454,2021-11-22,3951.06,160.01,68503
47,8705459454,2021-11-29,3019.21,184.93,68503
