,HCP_ID,Date,Samples,Samples Spend,ZIP
0,5619190708,2021-01-04,4987.65,289.45,41544
1,5619190708,2021-01-11,2534.93,321.0,41544
2,5619190708,2021-01-18,1659.06,488.51,41544
3,5619190708,2021-01-25,4353.34,145.2,41544
4,5619190708,2021-02-01,4780.33,477.13,41544
5,5619190708,2021-02-08,2265.42,347.66,41544
6,5619190708,2021-02-15,1443.02,133.68,41544
7,5619190708,2021-02-22,3007.18,119.87,41544
8,5619190708,2021-03-01,4499.57,471.24,41544
9,5619190708,2021-03-08,1269.23,118.91,41544
10,5619190708,2021-03-15,1885.67,471.98,41544
11,5619190708,2021-03-22,4076.06,370.6,41544
12,5619190708,2021-03-29,4105.39,179.79,41544
13,5619190708,2021-04-05,2026.35,227.05,41544
14,5619190708,2021-04-12,3420.26,343.29,41544
15,5619190708,2021-04-19,1834.43,274.69,41544
16,5619190708,2021-04-26,3760.08,223.85,41544
17,5619190708,2021-05-03,1301.91,178.96,41544
18,5619190708,2021-05-10,1658.94,352.78,41544
19,5619190708,2021-05-17,1274.2,453.9,41544
20,5619190708,2021-05-24,1337.55,339.16,41544
21,5619190708,2021-05-31,4718.13,124.97,41544
22,5619190708,2021-06-07,2532.42,231.18,41544
23,5619190708,2021-06-14,2376.84,340.12,41544
24,5619190708,2021-06-21,2048.41,110.93,41544
25,5619190708,2021-06-28,4849.1,399.51,41544
26,5619190708,2021-07-05,1540.51,282.06,41544
27,5619190708,2021-07-12,1250.89,111.14,41544
28,5619190708,2021-07-19,1190.05,402.31,41544
29,5619190708,2021-07-26,2779.7,437.76,41544
30,5619190708,2021-08-02,2220.86,410.13,41544
31,5619190708,2021-08-09,1311.74,354.04,41544
32,5619190708,2021-08-16,2442.41,210.69,41544
33,5619190708,2021-08-23,4260.44,120.77,41544
34,5619190708,2021-08-30,4798.13,414.22,41544
35,5619190708,2021-09-06,2422.44,496.53,41544
36,5619190708,2021-09-13,1809.96,260.97,41544
37,5619190708,2021-09-20,4539.52,498.72,41544
38,5619190708,2021-09-27,1956.45,397.25,41544
39,5619190708,2021-10-04,2222.92,406.59,41544
40,5619190708,2021-10-11,1501.14,234.47,41544
41,5619190708,2021-10-18,1300.0,296.76,41544
42,5619190708,2021-10-25,3806.0,251.45,41544
43,5619190708,2021-11-01,3458.87,327.63,41544
44,5619190708,2021-11-08,2178.39,294.71,41544
45,5619190708,2021-11-15,1276.08,283.97,41544
46,5619190708,2021-11-22,2832.76,111.49,41544
47,5619190708,2021-11-29,3055.49,395.08,41544
48,5619190708,2021-12-06,2809.01,358.41,41544
49,5619190708,2021-12-13,3129.68,414.07,41544
50,5619190708,2021-12-20,3057.82,232.64,41544
51,5619190708,2021-12-27,4310.28,127.05,41544
52,5619190708,2022-01-03,2157.82,336.59,41544
53,5619190708,2022-01-10,4424.11,128.86,41544
54,5619190708,2022-01-17,1384.21,212.95,41544
55,5619190708,2022-01-24,2378.29,437.42,41544
56,5619190708,2022-01-31,4835.61,106.89,41544
57,5619190708,2022-02-07,1061.42,445.92,41544
58,5619190708,2022-02-14,1542.47,235.73,41544
59,5619190708,2022-02-21,2100.85,212.75,41544
60,5619190708,2022-02-28,2314.37,234.42,41544
61,5619190708,2022-03-07,3480.62,351.51,41544
62,5619190708,2022-03-14,3091.57,443.42,41544
63,5619190708,2022-03-21,4382.69,186.89,41544
64,5619190708,2022-03-28,3174.56,413.53,41544
65,5619190708,2022-04-04,4467.5,202.07,41544
66,5619190708,2022-04-11,2976.4,310.01,41544
67,5619190708,2022-04-18,3798.55,232.1,41544
68,5619190708,2022-04-25,2173.81,382.24,41544
69,5619190708,2022-05-02,2597.34,101.61,41544
70,5619190708,2022-05-09,4751.39,159.86,41544
71,5619190708,2022-05-16,1594.54,427.35,41544
72,5619190708,2022-05-23,2342.01,231.27,41544
73,5619190708,2022-05-30,3489.58,123.62,41544
74,5619190708,2022-06-06,1947.85,121.31,41544
75,5619190708,2022-06-13,2166.04,447.97,41544
76,5619190708,2022-06-20,4637.33,223.77,41544
77,5619190708,2022-06-27,1750.35,154.11,41544
78,5619190708,2022-07-04,2577.68,430.56,41544
79,5619190708,2022-07-11,4410.65,118.37,41544
80,5619190708,2022-07-18,1836.92,181.27,41544
81,5619190708,2022-07-25,4313.72,282.52,41544
82,5619190708,2022-08-01,2473.58,482.64,41544
83,5619190708,2022-08-08,4701.43,276.04,41544
84,5619190708,2022-08-15,1513.33,168.4,41544
85,5619190708,2022-08-22,1448.34,372.2,41544
86,5619190708,2022-08-29,3218.75,322.66,41544
87,5619190708,2022-09-05,1393.51,417.31,41544
88,5619190708,2022-09-12,3142.29,136.39,41544
89,5619190708,2022-09-19,3988.52,492.52,41544
90,5619190708,2022-09-26,2764.72,146.26,41544
91,5619190708,2022-10-03,1405.6,110.35,41544
92,5619190708,2022-10-10,4081.59,377.6,41544
93,5619190708,2022-10-17,3336.96,406.25,41544
94,5619190708,2022-10-24,4997.19,260.74,41544
95,5619190708,2022-10-31,3823.24,250.86,41544
96,5619190708,2022-11-07,2408.23,440.37,41544
97,5619190708,2022-11-14,3299.05,148.25,41544
98,5619190708,2022-11-21,2614.06,418.62,41544
99,5619190708,2022-11-28,4759.99,345.77,41544
100,5619190708,2022-12-05,2576.85,200.79,41544
101,5619190708,2022-12-12,2688.09,326.26,41544
102,5619190708,2022-12-19,1017.67,207.47,41544
103,5619190708,2022-12-26,3686.06,369.29,41544
104,5619190708,2023-01-02,3612.03,479.98,41544
105,5619190708,2023-01-09,3274.18,207.89,41544
106,5619190708,2023-01-16,4246.45,255.75,41544
107,5619190708,2023-01-23,1957.16,322.7,41544
108,5619190708,2023-01-30,2156.14,258.46,41544
109,5619190708,2023-02-06,3772.63,498.38,41544
110,5619190708,2023-02-13,3578.93,210.59,41544
111,5619190708,2023-02-20,1361.86,244.79,41544
112,5619190708,2023-02-27,1077.24,285.9,41544
113,5619190708,2023-03-06,3639.94,304.72,41544
114,5619190708,2023-03-13,4461.13,297.62,41544
115,5619190708,2023-03-20,2849.52,223.87,41544
116,5619190708,2023-03-27,4350.45,461.44,41544
117,5619190708,2023-04-03,4911.67,492.48,41544
118,5619190708,2023-04-10,4921.69,384.78,41544
119,5619190708,2023-04-17,3250.61,168.94,41544
120,5619190708,2023-04-24,4068.25,393.95,41544
121,5619190708,2023-05-01,4369.61,284.98,41544
122,5619190708,2023-05-08,4569.69,387.47,41544
123,5619190708,2023-05-15,1684.5,182.76,41544
124,5619190708,2023-05-22,4257.06,270.28,41544
125,5619190708,2023-05-29,1996.05,269.03,41544
126,5619190708,2023-06-05,1645.51,456.69,41544
127,5619190708,2023-06-12,1286.16,241.3,41544
128,5619190708,2023-06-19,3227.72,449.46,41544
129,5619190708,2023-06-26,4126.2,108.97,41544
130,5619190708,2023-07-03,4300.99,355.25,41544
131,5619190708,2023-07-10,1533.39,346.99,41544
132,5619190708,2023-07-17,4271.58,340.84,41544
133,5619190708,2023-07-24,4996.59,302.8,41544
134,5619190708,2023-07-31,3692.52,128.15,41544
135,5619190708,2023-08-07,4252.79,349.64,41544
136,5619190708,2023-08-14,3244.97,383.52,41544
137,5619190708,2023-08-21,3242.04,406.58,41544
138,5619190708,2023-08-28,3334.06,308.02,41544
139,5619190708,2023-09-04,1540.08,288.73,41544
140,5619190708,2023-09-11,3152.94,349.83,41544
141,5619190708,2023-09-18,2823.57,158.66,41544
142,5619190708,2023-09-25,1601.45,388.4,41544
143,5619190708,2023-10-02,3645.79,203.8,41544
144,5619190708,2023-10-09,2783.43,222.78,41544
145,5619190708,2023-10-16,1724.09,230.47,41544
146,5619190708,2023-10-23,2050.76,132.97,41544
147,5619190708,2023-10-30,3017.95,280.35,41544
148,5619190708,2023-11-06,3858.43,348.12,41544
149,5619190708,2023-11-13,2373.51,298.52,41544
150,5619190708,2023-11-20,3144.33,467.02,41544
151,5619190708,2023-11-27,4926.78,426.22,41544
152,5619190708,2023-12-04,3248.42,471.24,41544
153,5619190708,2023-12-11,1712.45,378.6,41544
154,5619190708,2023-12-18,2841.87,157.9,41544
155,5619190708,2023-12-25,1300.84,292.3,41544
156,4552689757,2021-01-04,1955.88,200.2,99005
157,4552689757,2021-01-11,2280.87,387.35,99005
158,4552689757,2021-01-18,1656.36,387.02,99005
159,4552689757,2021-01-25,4130.84,337.79,99005
160,4552689757,2021-02-01,1990.23,120.61,99005
161,4552689757,2021-02-08,2631.78,438.98,99005
162,4552689757,2021-02-15,1407.48,397.93,99005
163,4552689757,2021-02-22,2871.56,459.53,99005
164,4552689757,2021-03-01,2424.79,381.9,99005
165,4552689757,2021-03-08,3960.48,179.5,99005
166,4552689757,2021-03-15,1632.59,137.09,99005
167,4552689757,2021-03-22,3806.33,319.26,99005
168,4552689757,2021-03-29,1346.88,223.33,99005
169,4552689757,2021-04-05,1569.39,137.07,99005
170,4552689757,2021-04-12,2195.08,138.52,99005
171,4552689757,2021-04-19,2040.74,321.09,99005
172,4552689757,2021-04-26,3243.62,167.2,99005
173,4552689757,2021-05-03,1764.05,441.99,99005
174,4552689757,2021-05-10,1667.74,118.3,99005
175,4552689757,2021-05-17,1979.28,330.57,99005
176,4552689757,2021-05-24,1028.9,493.99,99005
177,4552689757,2021-05-31,1921.56,195.25,99005
178,4552689757,2021-06-07,3954.47,199.27,99005
179,4552689757,2021-06-14,2584.61,317.57,99005
180,4552689757,2021-06-21,1087.49,434.92,99005
181,4552689757,2021-06-28,3048.2,225.17,99005
182,4552689757,2021-07-05,2599.15,122.33,99005
183,4552689757,2021-07-12,3871.92,315.8,99005
184,4552689757,2021-07-19,4655.97,285.67,99005
185,4552689757,2021-07-26,4313.61,175.33,99005
186,4552689757,2021-08-02,1226.04,479.38,99005
187,4552689757,2021-08-09,2027.83,433.43,99005
188,4552689757,2021-08-16,2029.33,162.34,99005
189,4552689757,2021-08-23,3930.12,411.36,99005
190,4552689757,2021-08-30,4374.45,445.95,99005
191,4552689757,2021-09-06,2932.52,260.09,99005
192,4552689757,2021-09-13,4003.88,327.75,99005
193,4552689757,2021-09-20,4861.14,250.33,99005
194,4552689757,2021-09-27,1171.5,335.72,99005
195,4552689757,2021-10-04,2413.88,237.07,99005
196,4552689757,2021-10-11,3258.08,468.71,99005
197,4552689757,2021-10-18,2067.83,251.84,99005
198,4552689757,2021-10-25,4565.0,458.09,99005
199,4552689757,2021-11-01,1938.36,382.53,99005
200,4552689757,2021-11-08,2662.24,474.4,99005
201,4552689757,2021-11-15,3928.98,297.74,99005
202,4552689757,2021-11-22,4269.65,499.15,99005
203,4552689757,2021-11-29,2788.17,249.4,99005
204,4552689757,2021-12-06,3428.14,373.23,99005
205,4552689757,2021-12-13,3817.79,289.43,99005
206,4552689757,2021-12-20,2329.17,428.77,99005
207,4552689757,2021-12-27,4833.04,445.59,99005
208,4552689757,2022-01-03,3729.42,244.06,99005
209,4552689757,2022-01-10,3489.93,140.46,99005
210,4552689757,2022-01-17,3135.65,412.49,99005
211,4552689757,2022-01-24,2004.24,300.61,99005
212,4552689757,2022-01-31,1293.1,435.4,99005
213,4552689757,2022-02-07,2400.93,332.88,99005
214,4552689757,2022-02-14,2514.14,339.04,99005
215,4552689757,2022-02-21,3976.79,230.73,99005
216,4552689757,2022-02-28,3077.05,417.95,99005
217,4552689757,2022-03-07,3751.41,122.83,99005
218,4552689757,2022-03-14,3275.04,250.53,99005
219,4552689757,2022-03-21,3835.12,106.67,99005
220,4552689757,2022-03-28,2322.39,134.6,99005
221,4552689757,2022-04-04,4681.97,450.6,99005
222,4552689757,2022-04-11,4872.35,357.39,99005
223,4552689757,2022-04-18,4228.2,344.75,99005
224,4552689757,2022-04-25,2968.18,433.53,99005
225,4552689757,2022-05-02,4104.66,393.31,99005
226,4552689757,2022-05-09,4575.64,471.5,99005
227,4552689757,2022-05-16,2781.15,213.13,99005
228,4552689757,2022-05-23,3047.14,137.23,99005
229,4552689757,2022-05-30,4752.64,493.54,99005
230,4552689757,2022-06-06,3610.82,398.46,99005
231,4552689757,2022-06-13,2294.69,446.51,99005
232,4552689757,2022-06-20,4601.21,130.76,99005
233,4552689757,2022-06-27,1525.78,204.34,99005
234,4552689757,2022-07-04,3814.7,173.35,99005
235,4552689757,2022-07-11,1880.32,252.75,99005
236,4552689757,2022-07-18,3446.55,490.52,99005
237,4552689757,2022-07-25,4135.58,323.32,99005
238,4552689757,2022-08-01,1197.54,306.74,99005
239,4552689757,2022-08-08,1816.34,220.03,99005
240,4552689757,2022-08-15,2003.44,238.98,99005
241,4552689757,2022-08-22,1249.04,330.74,99005
242,4552689757,2022-08-29,1183.01,364.23,99005
243,4552689757,2022-09-05,3923.21,294.43,99005
244,4552689757,2022-09-12,4125.03,486.96,99005
245,4552689757,2022-09-19,2360.21,347.56,99005
246,4552689757,2022-09-26,2294.93,277.35,99005
247,4552689757,2022-10-03,1083.3,129.74,99005
248,4552689757,2022-10-10,4190.11,155.96,99005
249,4552689757,2022-10-17,3796.61,383.55,99005
250,4552689757,2022-10-24,4984.9,378.24,99005
251,4552689757,2022-10-31,1514.98,350.62,99005
252,4552689757,2022-11-07,3096.57,466.96,99005
253,4552689757,2022-11-14,3760.6,307.39,99005
254,4552689757,2022-11-21,3496.86,277.38,99005
255,4552689757,2022-11-28,3033.63,388.94,99005
256,4552689757,2022-12-05,1313.39,346.13,99005
257,4552689757,2022-12-12,1352.87,442.03,99005
258,4552689757,2022-12-19,4769.85,412.08,99005
259,4552689757,2022-12-26,3872.13,477.5,99005
260,4552689757,2023-01-02,1874.11,191.53,99005
261,4552689757,2023-01-09,2924.06,102.99,99005
262,4552689757,2023-01-16,4860.28,112.9,99005
