,HCP_ID,Date,Sales
0,9686008838,2021-01-04,2024.06
1,9686008838,2021-01-11,3904.38
2,9686008838,2021-01-18,3371.85
3,9686008838,2021-01-25,1408.85
4,9686008838,2021-02-01,4675.0
5,9686008838,2021-02-08,4160.34
6,9686008838,2021-02-15,1092.09
7,9686008838,2021-02-22,3605.47
8,9686008838,2021-03-01,4084.99
9,9686008838,2021-03-08,2497.74
10,9686008838,2021-03-15,1275.69
11,9686008838,2021-03-22,1309.28
12,9686008838,2021-03-29,1416.99
13,9686008838,2021-04-05,4361.76
14,9686008838,2021-04-12,4642.74
15,9686008838,2021-04-19,1491.24
16,9686008838,2021-04-26,1943.62
17,9686008838,2021-05-03,1662.08
18,9686008838,2021-05-10,1745.28
19,9686008838,2021-05-17,4349.96
20,9686008838,2021-05-24,2328.59
21,9686008838,2021-05-31,2245.78
22,9686008838,2021-06-07,1909.58
23,9686008838,2021-06-14,3431.58
24,9686008838,2021-06-21,2517.22
25,9686008838,2021-06-28,3977.0
26,9686008838,2021-07-05,1822.32
27,9686008838,2021-07-12,4151.16
28,9686008838,2021-07-19,3414.89
29,9686008838,2021-07-26,1457.07
30,9686008838,2021-08-02,2658.02
31,9686008838,2021-08-09,4454.07
32,9686008838,2021-08-16,4691.84
33,9686008838,2021-08-23,2862.8
34,9686008838,2021-08-30,2923.35
35,9686008838,2021-09-06,4673.82
36,9686008838,2021-09-13,3348.27
37,9686008838,2021-09-20,1131.39
38,9686008838,2021-09-27,4651.0
39,9686008838,2021-10-04,1992.91
40,9686008838,2021-10-11,3310.53
41,9686008838,2021-10-18,1662.05
42,9686008838,2021-10-25,1135.52
43,9686008838,2021-11-01,2245.89
44,9686008838,2021-11-08,4121.98
45,9686008838,2021-11-15,2110.35
46,9686008838,2021-11-22,1880.39
47,9686008838,2021-11-29,1850.72
48,9686008838,2021-12-06,3060.69
49,9686008838,2021-12-13,4902.17
50,9686008838,2021-12-20,2835.96
51,9686008838,2021-12-27,3229.22
52,9686008838,2022-01-03,4442.53
53,9686008838,2022-01-10,3140.28
54,9686008838,2022-01-17,1737.85
55,9686008838,2022-01-24,2198.38
56,9686008838,2022-01-31,2239.75
57,9686008838,2022-02-07,2589.27
58,9686008838,2022-02-14,2707.16
59,9686008838,2022-02-21,4199.13
60,9686008838,2022-02-28,2397.55
61,9686008838,2022-03-07,2872.93
62,9686008838,2022-03-14,3499.9
63,9686008838,2022-03-21,2510.9
64,9686008838,2022-03-28,4346.26
65,9686008838,2022-04-04,3349.81
66,9686008838,2022-04-11,2176.18
67,9686008838,2022-04-18,3856.24
68,9686008838,2022-04-25,3110.59
69,9686008838,2022-05-02,3137.82
70,9686008838,2022-05-09,2924.35
71,9686008838,2022-05-16,2988.05
72,9686008838,2022-05-23,4061.43
73,9686008838,2022-05-30,1411.93
74,9686008838,2022-06-06,2337.45
75,9686008838,2022-06-13,1302.01
76,9686008838,2022-06-20,4012.98
77,9686008838,2022-06-27,2089.21
78,9686008838,2022-07-04,4589.72
79,9686008838,2022-07-11,3106.31
80,9686008838,2022-07-18,4203.0
81,9686008838,2022-07-25,4915.73
82,9686008838,2022-08-01,4359.16
83,9686008838,2022-08-08,4467.98
84,9686008838,2022-08-15,2631.94
85,9686008838,2022-08-22,3206.89
86,9686008838,2022-08-29,2015.55
87,9686008838,2022-09-05,1784.45
88,9686008838,2022-09-12,3022.03
89,9686008838,2022-09-19,3380.2
90,9686008838,2022-09-26,2357.08
91,9686008838,2022-10-03,3277.77
92,9686008838,2022-10-10,4549.84
93,9686008838,2022-10-17,3226.89
94,9686008838,2022-10-24,3883.25
95,9686008838,2022-10-31,4221.26
96,9686008838,2022-11-07,4954.92
97,9686008838,2022-11-14,3412.79
98,9686008838,2022-11-21,4227.4
99,9686008838,2022-11-28,4850.6
100,9686008838,2022-12-05,4777.64
101,9686008838,2022-12-12,1564.33
102,9686008838,2022-12-19,2625.57
103,9686008838,2022-12-26,2295.96
104,9686008838,2023-01-02,1347.7
105,9686008838,2023-01-09,3532.96
106,9686008838,2023-01-16,3943.62
107,9686008838,2023-01-23,4392.51
108,9686008838,2023-01-30,1491.11
109,9686008838,2023-02-06,4505.78
110,9686008838,2023-02-13,3571.7
111,9686008838,2023-02-20,3815.78
112,9686008838,2023-02-27,4642.5
113,9686008838,2023-03-06,3499.05
114,9686008838,2023-03-13,2343.46
115,9686008838,2023-03-20,4300.43
116,9686008838,2023-03-27,2452.24
117,9686008838,2023-04-03,1136.91
118,9686008838,2023-04-10,4322.62
119,9686008838,2023-04-17,2380.77
120,9686008838,2023-04-24,4095.34
