,HCP_ID,Date,Calls,Calls Spend
0,5783009361,2021-01-04,1649.48,149.13
1,5783009361,2021-01-11,4862.21,212.61
2,5783009361,2021-01-18,4634.37,264.23
3,5783009361,2021-01-25,2543.69,380.37
4,5783009361,2021-02-01,1039.53,235.24
5,5783009361,2021-02-08,2210.58,447.24
6,5783009361,2021-02-15,3116.49,245.83
7,5783009361,2021-02-22,2064.32,336.2
8,5783009361,2021-03-01,1606.69,198.48
9,5783009361,2021-03-08,2174.45,343.16
10,5783009361,2021-03-15,2493.02,302.31
11,5783009361,2021-03-22,3601.75,482.51
12,5783009361,2021-03-29,4059.35,262.1
13,5783009361,2021-04-05,3993.1,479.88
14,5783009361,2021-04-12,2997.52,264.2
15,5783009361,2021-04-19,1312.07,456.95
16,5783009361,2021-04-26,1985.74,125.58
17,5783009361,2021-05-03,3148.81,438.36
18,5783009361,2021-05-10,2626.54,413.23
19,5783009361,2021-05-17,4345.58,281.76
20,5783009361,2021-05-24,3363.82,313.56
21,5783009361,2021-05-31,4756.78,390.2
22,5783009361,2021-06-07,4701.37,188.0
23,5783009361,2021-06-14,2240.95,128.37
24,5783009361,2021-06-21,2999.63,449.57
25,5783009361,2021-06-28,2307.39,151.31
26,5783009361,2021-07-05,1273.79,279.0
27,5783009361,2021-07-12,1656.09,238.44
28,5783009361,2021-07-19,4279.92,253.62
29,5783009361,2021-07-26,3439.48,300.86
30,5783009361,2021-08-02,3874.13,162.47
31,5783009361,2021-08-09,4681.76,357.45
32,5783009361,2021-08-16,2083.81,149.3
33,5783009361,2021-08-23,1598.9,413.07
34,5783009361,2021-08-30,3352.44,252.3
35,5783009361,2021-09-06,2331.6,442.3
36,5783009361,2021-09-13,4499.05,332.5
37,5783009361,2021-09-20,3098.18,426.58
38,5783009361,2021-09-27,3997.34,260.13
39,5783009361,2021-10-04,1330.95,407.4
40,5783009361,2021-10-11,1674.8,106.55
41,5783009361,2021-10-18,4373.21,331.3
42,5783009361,2021-10-25,4566.66,293.84
43,5783009361,2021-11-01,4705.92,241.59
44,5783009361,2021-11-08,3898.09,220.39
45,5783009361,2021-11-15,1004.65,251.9
46,5783009361,2021-11-22,3951.06,160.01
47,5783009361,2021-11-29,3019.21,184.93
48,5783009361,2021-12-06,1298.5,346.98
49,5783009361,2021-12-13,4807.87,224.28
50,5783009361,2021-12-20,3322.58,481.44
51,5783009361,2021-12-27,3601.93,369.25
52,5783009361,2022-01-03,1715.71,297.04
53,5783009361,2022-01-10,2468.33,288.38
54,5783009361,2022-01-17,4203.31,284.28
55,5783009361,2022-01-24,1251.4,462.22
56,5783009361,2022-01-31,3179.26,469.8
57,5783009361,2022-02-07,3289.42,127.85
58,5783009361,2022-02-14,3211.48,330.3
59,5783009361,2022-02-21,1857.36,288.41
60,5783009361,2022-02-28,2837.77,349.15
61,5783009361,2022-03-07,2038.46,332.7
62,5783009361,2022-03-14,1963.81,278.58
63,5783009361,2022-03-21,1490.82,114.92
64,5783009361,2022-03-28,2282.35,209.83
65,5783009361,2022-04-04,2627.74,484.79
66,5783009361,2022-04-11,3088.92,321.27
67,5783009361,2022-04-18,4766.4,468.46
