,HCP_ID,Date,Print,Print Spend
0,3772541751,2021-01-04,4610.69,497.56
1,3772541751,2021-01-11,4977.71,275.38
2,3772541751,2021-01-18,1957.17,168.81
3,3772541751,2021-01-25,2528.44,339.58
4,3772541751,2021-02-01,3974.35,306.55
5,3772541751,2021-02-08,4370.96,467.87
6,3772541751,2021-02-15,4542.67,247.68
7,3772541751,2021-02-22,4802.19,469.23
8,3772541751,2021-03-01,2646.62,268.52
9,3772541751,2021-03-08,1312.17,474.8
10,3772541751,2021-03-15,1353.84,296.46
11,3772541751,2021-03-22,3885.66,451.87
12,3772541751,2021-03-29,3284.0,373.03
13,3772541751,2021-04-05,3840.52,106.39
14,3772541751,2021-04-12,4769.94,243.97
15,3772541751,2021-04-19,1710.09,289.33
16,3772541751,2021-04-26,3933.94,430.94
17,3772541751,2021-05-03,3878.45,260.05
18,3772541751,2021-05-10,3726.2,272.75
19,3772541751,2021-05-17,4947.47,498.59
20,3772541751,2021-05-24,1999.18,293.33
21,3772541751,2021-05-31,3306.07,354.5
22,3772541751,2021-06-07,2735.69,309.72
23,3772541751,2021-06-14,3217.06,255.18
24,3772541751,2021-06-21,2281.76,353.85
25,3772541751,2021-06-28,2768.16,488.86
26,3772541751,2021-07-05,2502.76,178.34
27,3772541751,2021-07-12,2706.55,362.77
28,3772541751,2021-07-19,2767.22,214.27
29,3772541751,2021-07-26,2980.93,278.8
30,3772541751,2021-08-02,4776.55,107.56
31,3772541751,2021-08-09,2579.82,236.4
32,3772541751,2021-08-16,1893.78,318.5
33,3772541751,2021-08-23,3456.24,104.08
34,3772541751,2021-08-30,3704.64,253.07
35,3772541751,2021-09-06,4692.11,397.41
36,3772541751,2021-09-13,3055.23,480.6
37,3772541751,2021-09-20,3749.62,423.23
38,3772541751,2021-09-27,4825.46,456.14
39,3772541751,2021-10-04,1282.69,184.09
40,3772541751,2021-10-11,3518.31,164.37
41,3772541751,2021-10-18,2858.99,292.07
42,3772541751,2021-10-25,2852.35,429.0
43,3772541751,2021-11-01,2957.78,447.48
44,3772541751,2021-11-08,4094.32,356.98
45,3772541751,2021-11-15,3311.99,192.89
46,3772541751,2021-11-22,4072.25,421.78
47,3772541751,2021-11-29,2957.55,188.15
48,3772541751,2021-12-06,4040.42,420.05
49,3772541751,2021-12-13,3268.49,378.86
50,3772541751,2021-12-20,4094.68,216.63
51,3772541751,2021-12-27,2130.88,383.2
52,3772541751,2022-01-03,3049.63,304.93
53,3772541751,2022-01-10,4834.88,419.74
54,3772541751,2022-01-17,2024.13,262.55
55,3772541751,2022-01-24,4320.09,129.29
56,3772541751,2022-01-31,2284.18,235.88
57,3772541751,2022-02-07,2560.99,203.65
58,3772541751,2022-02-14,3567.6,258.02
59,3772541751,2022-02-21,3169.02,209.04
60,3772541751,2022-02-28,4445.25,182.31
61,3772541751,2022-03-07,4509.27,171.64
62,3772541751,2022-03-14,2480.52,411.66
63,3772541751,2022-03-21,2970.62,194.88
64,3772541751,2022-03-28,3653.7,151.07
65,3772541751,2022-04-04,1861.19,202.69
66,3772541751,2022-04-11,3337.82,320.9
67,3772541751,2022-04-18,3078.16,138.96
68,3772541751,2022-04-25,4120.45,152.71
69,3772541751,2022-05-02,4755.0,126.09
70,3772541751,2022-05-09,4519.85,219.11
71,3772541751,2022-05-16,3799.32,233.29
72,3772541751,2022-05-23,3880.06,292.46
73,3772541751,2022-05-30,3107.1,386.57
74,3772541751,2022-06-06,1534.28,206.54
75,3772541751,2022-06-13,4362.98,415.93
76,3772541751,2022-06-20,4961.19,109.18
77,3772541751,2022-06-27,1568.74,234.93
78,3772541751,2022-07-04,3773.59,226.22
79,3772541751,2022-07-11,2383.86,190.97
80,3772541751,2022-07-18,4638.37,319.02
81,3772541751,2022-07-25,1638.74,332.88
82,3772541751,2022-08-01,1638.03,208.74
83,3772541751,2022-08-08,3784.41,403.27
84,3772541751,2022-08-15,2732.34,166.87
85,3772541751,2022-08-22,1846.13,315.84
86,3772541751,2022-08-29,3355.76,447.45
87,3772541751,2022-09-05,2072.55,344.8
88,3772541751,2022-09-12,1010.6,288.5
89,3772541751,2022-09-19,2592.42,148.06
90,3772541751,2022-09-26,4564.95,143.22
91,3772541751,2022-10-03,2061.81,393.6
92,3772541751,2022-10-10,1722.93,130.71
93,3772541751,2022-10-17,4877.41,217.41
94,3772541751,2022-10-24,1242.77,156.42
95,3772541751,2022-10-31,1889.82,483.36
96,3772541751,2022-11-07,1064.38,417.12
97,3772541751,2022-11-14,4123.66,299.85
98,3772541751,2022-11-21,4731.6,105.37
99,3772541751,2022-11-28,2980.82,201.38
100,3772541751,2022-12-05,4047.72,169.3
101,3772541751,2022-12-12,4500.3,262.19
102,3772541751,2022-12-19,1543.47,113.9
103,3772541751,2022-12-26,3757.81,471.38
104,3772541751,2023-01-02,4879.48,449.73
105,3772541751,2023-01-09,2558.14,462.34
106,3772541751,2023-01-16,3574.71,125.33
107,3772541751,2023-01-23,1683.46,254.03
108,3772541751,2023-01-30,2224.91,234.38
109,3772541751,2023-02-06,3939.89,123.55
110,3772541751,2023-02-13,3423.15,234.66
111,3772541751,2023-02-20,4529.63,122.87
112,3772541751,2023-02-27,4886.68,132.37
113,3772541751,2023-03-06,2737.89,442.83
114,3772541751,2023-03-13,2287.59,440.03
115,3772541751,2023-03-20,4852.67,149.1
116,3772541751,2023-03-27,2908.94,192.32
117,3772541751,2023-04-03,4068.13,143.2
118,3772541751,2023-04-10,4099.0,370.17
119,3772541751,2023-04-17,3525.37,273.72
120,3772541751,2023-04-24,3006.3,140.16
121,3772541751,2023-05-01,2079.55,465.36
122,3772541751,2023-05-08,2767.89,261.14
123,3772541751,2023-05-15,1189.34,453.73
124,3772541751,2023-05-22,4013.63,136.66
125,3772541751,2023-05-29,1600.76,149.46
126,3772541751,2023-06-05,3612.78,163.56
127,3772541751,2023-06-12,4980.4,329.46
128,3772541751,2023-06-19,4480.55,392.02
129,3772541751,2023-06-26,1097.94,268.45
130,3772541751,2023-07-03,2446.49,480.88
131,3772541751,2023-07-10,2353.42,374.97
132,3772541751,2023-07-17,3357.92,394.66
133,3772541751,2023-07-24,1245.09,472.32
134,3772541751,2023-07-31,4972.03,321.75
135,3772541751,2023-08-07,1657.31,447.77
136,3772541751,2023-08-14,3589.28,349.57
137,3772541751,2023-08-21,4539.65,392.59
138,3772541751,2023-08-28,4679.06,483.03
139,3772541751,2023-09-04,2379.52,179.17
140,3772541751,2023-09-11,2541.82,487.0
141,3772541751,2023-09-18,1765.62,336.44
142,3772541751,2023-09-25,1337.0,432.99
143,3772541751,2023-10-02,3672.83,308.84
144,3772541751,2023-10-09,3519.97,146.82
145,3772541751,2023-10-16,4445.76,236.06
146,3772541751,2023-10-23,1676.49,105.92
147,3772541751,2023-10-30,1242.81,368.66
148,3772541751,2023-11-06,3873.87,159.55
149,3772541751,2023-11-13,3422.87,293.21
150,3772541751,2023-11-20,4748.76,366.08
151,3772541751,2023-11-27,3081.32,213.51
152,3772541751,2023-12-04,2847.18,198.84
