,HCP_ID,Date,Samples,Samples Spend
0,2189592771,2021-01-04,4987.65,289.45
1,2189592771,2021-01-11,2534.93,321.0
2,2189592771,2021-01-18,1659.06,488.51
3,2189592771,2021-01-25,4353.34,145.2
4,2189592771,2021-02-01,4780.33,477.13
5,2189592771,2021-02-08,2265.42,347.66
6,2189592771,2021-02-15,1443.02,133.68
7,2189592771,2021-02-22,3007.18,119.87
8,2189592771,2021-03-01,4499.57,471.24
9,2189592771,2021-03-08,1269.23,118.91
10,2189592771,2021-03-15,1885.67,471.98
11,2189592771,2021-03-22,4076.06,370.6
12,2189592771,2021-03-29,4105.39,179.79
13,2189592771,2021-04-05,2026.35,227.05
14,2189592771,2021-04-12,3420.26,343.29
15,2189592771,2021-04-19,1834.43,274.69
16,2189592771,2021-04-26,3760.08,223.85
17,2189592771,2021-05-03,1301.91,178.96
18,2189592771,2021-05-10,1658.94,352.78
19,2189592771,2021-05-17,1274.2,453.9
20,2189592771,2021-05-24,1337.55,339.16
21,2189592771,2021-05-31,4718.13,124.97
22,2189592771,2021-06-07,2532.42,231.18
23,2189592771,2021-06-14,2376.84,340.12
24,2189592771,2021-06-21,2048.41,110.93
25,2189592771,2021-06-28,4849.1,399.51
26,2189592771,2021-07-05,1540.51,282.06
27,2189592771,2021-07-12,1250.89,111.14
28,2189592771,2021-07-19,1190.05,402.31
29,2189592771,2021-07-26,2779.7,437.76
30,2189592771,2021-08-02,2220.86,410.13
31,2189592771,2021-08-09,1311.74,354.04
32,2189592771,2021-08-16,2442.41,210.69
33,2189592771,2021-08-23,4260.44,120.77
34,2189592771,2021-08-30,4798.13,414.22
35,2189592771,2021-09-06,2422.44,496.53
36,2189592771,2021-09-13,1809.96,260.97
37,2189592771,2021-09-20,4539.52,498.72
38,2189592771,2021-09-27,1956.45,397.25
39,2189592771,2021-10-04,2222.92,406.59
40,2189592771,2021-10-11,1501.14,234.47
41,2189592771,2021-10-18,1300.0,296.76
42,2189592771,2021-10-25,3806.0,251.45
43,2189592771,2021-11-01,3458.87,327.63
44,2189592771,2021-11-08,2178.39,294.71
45,2189592771,2021-11-15,1276.08,283.97
46,2189592771,2021-11-22,2832.76,111.49
47,2189592771,2021-11-29,3055.49,395.08
48,2189592771,2021-12-06,2809.01,358.41
49,2189592771,2021-12-13,3129.68,414.07
50,2189592771,2021-12-20,3057.82,232.64
51,2189592771,2021-12-27,4310.28,127.05
52,2189592771,2022-01-03,2157.82,336.59
53,2189592771,2022-01-10,4424.11,128.86
54,2189592771,2022-01-17,1384.21,212.95
55,2189592771,2022-01-24,2378.29,437.42
56,2189592771,2022-01-31,4835.61,106.89
57,2189592771,2022-02-07,1061.42,445.92
58,2189592771,2022-02-14,1542.47,235.73
59,2189592771,2022-02-21,2100.85,212.75
60,2189592771,2022-02-28,2314.37,234.42
61,2189592771,2022-03-07,3480.62,351.51
62,2189592771,2022-03-14,3091.57,443.42
63,2189592771,2022-03-21,4382.69,186.89
64,2189592771,2022-03-28,3174.56,413.53
65,2189592771,2022-04-04,4467.5,202.07
66,2189592771,2022-04-11,2976.4,310.01
67,2189592771,2022-04-18,3798.55,232.1
68,2189592771,2022-04-25,2173.81,382.24
69,2189592771,2022-05-02,2597.34,101.61
70,2189592771,2022-05-09,4751.39,159.86
71,2189592771,2022-05-16,1594.54,427.35
72,2189592771,2022-05-23,2342.01,231.27
73,2189592771,2022-05-30,3489.58,123.62
74,2189592771,2022-06-06,1947.85,121.31
75,2189592771,2022-06-13,2166.04,447.97
76,2189592771,2022-06-20,4637.33,223.77
77,2189592771,2022-06-27,1750.35,154.11
78,2189592771,2022-07-04,2577.68,430.56
79,2189592771,2022-07-11,4410.65,118.37
80,2189592771,2022-07-18,1836.92,181.27
81,2189592771,2022-07-25,4313.72,282.52
82,2189592771,2022-08-01,2473.58,482.64
83,2189592771,2022-08-08,4701.43,276.04
84,2189592771,2022-08-15,1513.33,168.4
85,2189592771,2022-08-22,1448.34,372.2
86,2189592771,2022-08-29,3218.75,322.66
87,2189592771,2022-09-05,1393.51,417.31
88,2189592771,2022-09-12,3142.29,136.39
89,2189592771,2022-09-19,3988.52,492.52
90,2189592771,2022-09-26,2764.72,146.26
91,2189592771,2022-10-03,1405.6,110.35
92,2189592771,2022-10-10,4081.59,377.6
93,2189592771,2022-10-17,3336.96,406.25
94,2189592771,2022-10-24,4997.19,260.74
95,2189592771,2022-10-31,3823.24,250.86
96,2189592771,2022-11-07,2408.23,440.37
97,2189592771,2022-11-14,3299.05,148.25
98,2189592771,2022-11-21,2614.06,418.62
99,2189592771,2022-11-28,4759.99,345.77
100,2189592771,2022-12-05,2576.85,200.79
101,2189592771,2022-12-12,2688.09,326.26
102,2189592771,2022-12-19,1017.67,207.47
103,2189592771,2022-12-26,3686.06,369.29
104,2189592771,2023-01-02,3612.03,479.98
105,2189592771,2023-01-09,3274.18,207.89
106,2189592771,2023-01-16,4246.45,255.75
107,2189592771,2023-01-23,1957.16,322.7
108,2189592771,2023-01-30,2156.14,258.46
109,2189592771,2023-02-06,3772.63,498.38
110,2189592771,2023-02-13,3578.93,210.59
111,2189592771,2023-02-20,1361.86,244.79
112,2189592771,2023-02-27,1077.24,285.9
113,2189592771,2023-03-06,3639.94,304.72
114,2189592771,2023-03-13,4461.13,297.62
